Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"不由己（《黑神话：悟空》火焰山片尾曲）（Destiny）","陈彼得","不由己（《黑神话：悟空》火焰山片尾曲）（Destiny）","Favorite Songs","Favorite","HKG732455326","2ssnCoeFqhte8ZI6XIj4D9"
"牵丝戏","银临","牵丝戏","Favorite Songs","Favorite","ESA012437588","2E3WL1lY3deyPOID2UfisX"
"女儿情（《西游记女儿国》电影推广曲）","冯绍峰","女儿情（《西游记女儿国》电影推广曲）","Favorite Songs","Favorite","TWDL71700655","3YAm2EEGDHODKQvmqlqE5l"
"女兒情","許鏡清","電視劇《西遊記》精選原聲音樂專輯","Favorite Songs","Favorite","TWU718601005","0fLWLY5NORl3DKj1OjY8zc"
"敢問路在何方 (電視劇《西遊記》片尾曲)","許鏡清","電視劇《西遊記》精選原聲音樂專輯","Favorite Songs","Favorite","TWU718601002","6aSzlSKjtZ8d8lnudw7dzU"
"雲宮迅音 (電視劇《西遊記》片頭曲)","許鏡清","電視劇《西遊記》精選原聲音樂專輯","Favorite Songs","Favorite","TWU718601001","0zLkFFGehZ1oqB7i560IEf"
"暗香","沙宝亮","金粉世家","Favorite Songs","Favorite","HKC371687795","0kwq57xNGMBvPFdEBMtqbG"
"風中有朵雨做的雲","孟庭葦","風中有朵雨做的雲","Favorite Songs","Favorite","TWA559344201","1iVQZ2KAAoAvp3oBWJkkxY"
"執迷不悔 - 國語版","Faye Wong","執迷不悔","Favorite Songs","Favorite","HKG079900345","0Vl1CmN59g8BendFIGTZgY"
"天堂","降央卓玛","金色的呼唤 II","Favorite Songs","Favorite","HKD012388551","5F0nhBvsLjizgggESSlofn"
"一路生花","温奕心","一路生花","Favorite Songs","Favorite","HKG732138295","17N3Oqo2rklHgAyR7J9H0S"
"可可托海的牧羊人","王琪","可可托海的牧羊人","Favorite Songs","Favorite","HKG732011432","7pIeRvkhs7RYr8aw8DtT4x"
"追夢人","鳳飛飛","鳳飛飛 歌唱生涯回憶錄 特別收錄1","Favorite Songs","Favorite","FR10S2062531","7dgxGWcXMrRZJeBi9VaFr4"
"乌兰巴托的夜 - 丹正母子版","丹正母子","乌兰巴托的夜","Favorite Songs","Favorite","FR96X2388121","5EaxliMTDonJejdQPzHRn2"
"白狐","陈瑞","白狐","Favorite Songs","Favorite","HKG731904402","4nobGBdTV6Pj1o7B3C5cl5"
"不如见一面","海来阿木","不如见一面","Favorite Songs","Favorite","DGA0P2305769","5GbBJItIvrF5TAJi5Bbyfm"
"追梦人","梁紫丹","紫色的声音","Favorite Songs","Favorite","FR2X42112428","6zjfwj5y9MWobLUjJDhkCD"
"喀秋莎","中央樂團合唱團","輝煌中央樂團---經典男聲合唱(外國篇)","Favorite Songs","Favorite","TWDL72018896","09iYOR0VMS0VErU9YMm1EG"
"渡口","Tsai Chin","民歌蔡琴","Favorite Songs","Favorite","TWA239600008","5ll6r4NijiGnFq1HuwOeUB"
"三套车","赵鹏","低音炮三套车","Favorite Songs","Favorite","CNF122000769","0M6COezmMWcUDYAsMB9zGP"
"只要平凡 - 电影《我不是药神》主题曲","Zhang Bichen","只要平凡 (电影《我不是药神》主题曲)","Favorite Songs","Favorite","TWU711802672","3FhJrCLV6f2En4iNl7Etj2"
"Music for Otto Preminger's Film ""Exodus"": Main Theme","Ernest Gold","The Piano Player","Favorite Songs","Favorite","GBAYC0203608","3tNgSHYX81f99m4eTi8bE6"
"The Last of the Mohicans","Alexandro Querevalú","The Best of Alexandro I","Favorite Songs","Favorite","QZTV32567901","7FBiw85wtD42sf1FDeT9zJ"
"A Song in Your Heart","Clannad","Nádúr","Favorite Songs","Favorite","GBCKG1300187","47cP2XufjtuS7sIqS3EF91"
"Der letzte Mohikaner","Leo Rojas","Spirit Of The Hawk","Favorite Songs","Favorite","DEA811200022","52ujJQBfmMiDlIKBvXYfNx"
"Sentence","ERA","Era 2","Favorite Songs","Favorite","NLB780080020","6H1aoVb6JgduqCh8vs7VtO"
"Devore Amante","ERA","Era 2","Favorite Songs","Favorite","NLB780080140","6aJwgKwqSC5KOgVtDRroik"
"相思比夢長 - Remastered","Fei Yu-ching","深情往事直到永遠 (Remastered)","Favorite Songs","Favorite","TWA531701108","3jUZLGDo71qZA99oAwqS3j"
"一場遊戲一場夢","Dave Wang","一場遊戲一場夢","Favorite Songs","Favorite","TWA538705401","0Id7swY6cWbvYLtVVF0wvq"
"故乡的云","费翔","跨越四海的歌声","Favorite Songs","Favorite","FR96X2207397","1H58ENGMaXYHlcVhOancAN"
"星星點燈","鄭智化","星星點燈","Favorite Songs","Favorite","TWA539226701","502oVRqbvjsMlrT4hthQuJ"
"Game of Thrones","Edgar Muenala","The Song of My Life","Favorite Songs","Favorite","TCADM1811492","5K8EhtMJwr6q3Fi57TIehA"
